experiment,model,cohort,symbol,n,schema_and_literal_evidence_valid,exact_fact_set,fact_tp,fact_fp,fact_fn,precision,recall,no_event_n,no_event_false_positive,annotation_status,note,event_presence_tp,event_presence_fp,event_presence_fn
ordinary,frozen,enriched_check,ALL,24,4,0,0,8,16,0.0,0.0,8,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,3,1,13
ordinary,frozen,enriched_check,AAPL,24,4,0,0,8,16,0.0,0.0,8,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,3,1,13
ordinary,tuned,all_check,ALL,122,120,101,6,8,17,0.42857142857142855,0.2608695652173913,100,3,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,11,3,11
ordinary,tuned,all_check,AAPL,73,72,58,5,7,12,0.4166666666666667,0.29411764705882354,56,2,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,10,2,7
ordinary,tuned,all_check,AMZN,49,48,43,1,1,5,0.5,0.16666666666666666,44,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,1,1,4
ordinary,tuned,original_check,ALL,98,97,90,1,2,6,0.3333333333333333,0.14285714285714285,92,2,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,1,2,5
ordinary,tuned,original_check,AAPL,49,49,47,0,1,1,0.0,0.0,48,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0,1,1
ordinary,tuned,original_check,AMZN,49,48,43,1,1,5,0.5,0.16666666666666666,44,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,1,1,4
ordinary,tuned,enriched_check,ALL,24,23,11,5,6,11,0.45454545454545453,0.3125,8,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,10,1,6
ordinary,tuned,enriched_check,AAPL,24,23,11,5,6,11,0.45454545454545453,0.3125,8,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,10,1,6
gate,rule,all_check,ALL,122,122,95,8,29,15,0.21621621621621623,0.34782608695652173,100,10,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,17,10,5
gate,rule,all_check,AAPL,73,73,52,6,25,11,0.1935483870967742,0.35294117647058826,56,8,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,13,8,4
gate,rule,all_check,AMZN,49,49,43,2,4,4,0.3333333333333333,0.3333333333333333,44,2,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,4,2,1
gate,rule,original_check,ALL,98,98,84,2,16,5,0.1111111111111111,0.2857142857142857,92,9,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,5,9,1
gate,rule,original_check,AAPL,49,49,41,0,12,1,0.0,0.0,48,7,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,1,7,0
gate,rule,original_check,AMZN,49,49,43,2,4,4,0.3333333333333333,0.3333333333333333,44,2,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,4,2,1
gate,rule,enriched_check,ALL,24,24,11,6,13,10,0.3157894736842105,0.375,8,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,12,1,4
gate,rule,enriched_check,AAPL,24,24,11,6,13,10,0.3157894736842105,0.375,8,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,12,1,4
gate,frozen,all_check,ALL,122,9,0,0,18,23,0.0,0.0,100,6,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,3,6,19
gate,frozen,all_check,AAPL,73,6,0,0,12,17,0.0,0.0,56,3,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,3,3,14
gate,frozen,all_check,AMZN,49,3,0,0,6,6,0.0,0.0,44,3,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0,3,5
gate,frozen,original_check,ALL,98,5,0,0,10,7,0.0,0.0,92,5,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0,5,6
gate,frozen,original_check,AAPL,49,2,0,0,4,1,0.0,0.0,48,2,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0,2,1
gate,frozen,original_check,AMZN,49,3,0,0,6,6,0.0,0.0,44,3,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0,3,5
gate,frozen,enriched_check,ALL,24,4,0,0,8,16,0.0,0.0,8,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,3,1,13
gate,frozen,enriched_check,AAPL,24,4,0,0,8,16,0.0,0.0,8,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,3,1,13
gate,tuned,all_check,ALL,122,122,101,1,1,22,0.5,0.043478260869565216,100,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,2,0,20
gate,tuned,all_check,AAPL,73,73,57,1,1,16,0.5,0.058823529411764705,56,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,2,0,15
gate,tuned,all_check,AMZN,49,49,44,0,0,6,,0.0,44,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0,0,5
gate,tuned,original_check,ALL,98,98,92,0,0,7,,0.0,92,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0,0,6
gate,tuned,original_check,AAPL,49,49,48,0,0,1,,0.0,48,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0,0,1
gate,tuned,original_check,AMZN,49,49,44,0,0,6,,0.0,44,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0,0,5
gate,tuned,enriched_check,ALL,24,24,9,1,1,15,0.5,0.0625,8,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,2,0,14
gate,tuned,enriched_check,AAPL,24,24,9,1,1,15,0.5,0.0625,8,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,2,0,14
