model,phase,cohort,symbol,n,schema_and_literal_evidence_valid,exact_fact_set,fact_tp,fact_fp,fact_fn,precision,recall,no_event_n,no_event_false_positive,annotation_status,note,f1
old_frozen,check,enriched,AAPL,24,4,0,0,8,16,0.0,0.0,8,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
old_tuned,check,all,ALL,122,120,101,6,8,17,0.42857142857142855,0.2608695652173913,100,3,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.32432432432432434
old_tuned,check,all,AAPL,73,72,58,5,7,12,0.4166666666666667,0.29411764705882354,56,2,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.3448275862068966
old_tuned,check,all,AMZN,49,48,43,1,1,5,0.5,0.16666666666666666,44,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.25
old_tuned,check,original,ALL,98,97,90,1,2,6,0.3333333333333333,0.14285714285714285,92,2,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.2
old_tuned,check,original,AAPL,49,49,47,0,1,1,0.0,0.0,48,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
old_tuned,check,original,AMZN,49,48,43,1,1,5,0.5,0.16666666666666666,44,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.25
old_tuned,check,enriched,ALL,24,23,11,5,6,11,0.45454545454545453,0.3125,8,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.37037037037037035
old_tuned,check,enriched,AAPL,24,23,11,5,6,11,0.45454545454545453,0.3125,8,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.37037037037037035
rules,valid,all,ALL,87,87,61,6,31,14,0.16216216216216217,0.3,68,8,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.21052631578947367
rules,valid,all,AAPL,57,57,33,6,29,14,0.17142857142857143,0.3,38,6,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.21818181818181817
rules,valid,all,AMZN,30,30,28,0,2,0,0.0,,30,2,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
rules,check,all,ALL,122,122,95,8,29,15,0.21621621621621623,0.34782608695652173,100,10,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.26666666666666666
rules,check,all,AAPL,73,73,52,6,25,11,0.1935483870967742,0.35294117647058826,56,8,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.25
rules,check,all,AMZN,49,49,43,2,4,4,0.3333333333333333,0.3333333333333333,44,2,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.3333333333333333
rules,check,original,ALL,98,98,84,2,16,5,0.1111111111111111,0.2857142857142857,92,9,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.16
rules,check,original,AAPL,49,49,41,0,12,1,0.0,0.0,48,7,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
rules,check,original,AMZN,49,49,43,2,4,4,0.3333333333333333,0.3333333333333333,44,2,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.3333333333333333
rules,check,enriched,ALL,24,24,11,6,13,10,0.3157894736842105,0.375,8,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.34285714285714286
rules,check,enriched,AAPL,24,24,11,6,13,10,0.3157894736842105,0.375,8,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.34285714285714286
original,valid,all,ALL,87,66,55,1,11,19,0.08333333333333333,0.05,68,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0625
original,valid,all,AAPL,57,40,29,1,11,19,0.08333333333333333,0.05,38,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0625
original,valid,all,AMZN,30,26,26,0,0,0,,,30,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,
original,check,all,ALL,122,85,78,0,2,23,0.0,0.0,100,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
original,check,all,AAPL,73,45,40,0,2,17,0.0,0.0,56,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
original,check,all,AMZN,49,40,38,0,0,6,,0.0,44,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
original,check,original,ALL,98,75,73,0,0,7,,0.0,92,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
original,check,original,AAPL,49,35,35,0,0,1,,0.0,48,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
original,check,original,AMZN,49,40,38,0,0,6,,0.0,44,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
original,check,enriched,ALL,24,10,5,0,2,16,0.0,0.0,8,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
original,check,enriched,AAPL,24,10,5,0,2,16,0.0,0.0,8,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
prompt,valid,all,ALL,87,74,63,3,23,17,0.11538461538461539,0.15,68,4,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.13043478260869565
prompt,valid,all,AAPL,57,44,34,3,21,17,0.125,0.15,38,3,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.13636363636363635
prompt,valid,all,AMZN,30,30,29,0,2,0,0.0,,30,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
prompt,check,all,ALL,122,96,90,3,11,20,0.21428571428571427,0.13043478260869565,100,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.16216216216216217
prompt,check,all,AAPL,73,54,48,3,11,14,0.21428571428571427,0.17647058823529413,56,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.1935483870967742
prompt,check,all,AMZN,49,42,42,0,0,6,,0.0,44,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
prompt,check,original,ALL,98,85,84,0,2,7,0.0,0.0,92,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
prompt,check,original,AAPL,49,43,42,0,2,1,0.0,0.0,48,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
prompt,check,original,AMZN,49,42,42,0,0,6,,0.0,44,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
prompt,check,enriched,ALL,24,11,6,3,9,13,0.25,0.1875,8,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.21428571428571427
prompt,check,enriched,AAPL,24,11,6,3,9,13,0.25,0.1875,8,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.21428571428571427
staged,valid,all,ALL,87,78,66,4,4,16,0.5,0.2,68,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.2857142857142857
staged,valid,all,AAPL,57,49,37,4,4,16,0.5,0.2,38,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.2857142857142857
staged,valid,all,AMZN,30,29,29,0,0,0,,,30,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,
staged,check,all,ALL,122,118,99,9,15,14,0.375,0.391304347826087,100,2,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.3829787234042553
staged,check,all,AAPL,73,69,54,4,10,13,0.2857142857142857,0.23529411764705882,56,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.25806451612903225
staged,check,all,AMZN,49,49,45,5,5,1,0.5,0.8333333333333334,44,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.625
staged,check,original,ALL,98,95,90,5,6,2,0.45454545454545453,0.7142857142857143,92,2,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.5555555555555556
staged,check,original,AAPL,49,46,45,0,1,1,0.0,0.0,48,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
staged,check,original,AMZN,49,49,45,5,5,1,0.5,0.8333333333333334,44,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.625
staged,check,enriched,ALL,24,23,9,4,9,12,0.3076923076923077,0.25,8,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.27586206896551724
staged,check,enriched,AAPL,24,23,9,4,9,12,0.3076923076923077,0.25,8,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.27586206896551724
staged_v2,valid,all,ALL,87,78,67,5,4,15,0.5555555555555556,0.25,68,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.3448275862068966
staged_v2,valid,all,AAPL,57,49,38,5,4,15,0.5555555555555556,0.25,38,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.3448275862068966
staged_v2,valid,all,AMZN,30,29,29,0,0,0,,,30,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,
staged_v2,check,all,ALL,122,118,99,9,15,14,0.375,0.391304347826087,100,2,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.3829787234042553
staged_v2,check,all,AAPL,73,69,54,4,10,13,0.2857142857142857,0.23529411764705882,56,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.25806451612903225
staged_v2,check,all,AMZN,49,49,45,5,5,1,0.5,0.8333333333333334,44,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.625
staged_v2,check,original,ALL,98,95,90,5,6,2,0.45454545454545453,0.7142857142857143,92,2,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.5555555555555556
staged_v2,check,original,AAPL,49,46,45,0,1,1,0.0,0.0,48,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.0
staged_v2,check,original,AMZN,49,49,45,5,5,1,0.5,0.8333333333333334,44,1,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.625
staged_v2,check,enriched,ALL,24,23,9,4,9,12,0.3076923076923077,0.25,8,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.27586206896551724
staged_v2,check,enriched,AAPL,24,23,9,4,9,12,0.3076923076923077,0.25,8,0,ASSISTANT_PROVISIONAL_NOT_INDEPENDENT,Literal evidence checks do not establish semantic support. Exact metric ignores evidence-id identity to allow alternate supporting sentences.,0.27586206896551724
